time,BVSP.Open,BVSP.High,BVSP.Low,BVSP.Close,BVSP.Volume,BVSP.Adjusted
2023-01-25,113028,114386,111927,114195,11413000,114195
2023-01-24,111746,113040,111669,113028,11551500,113028
2023-01-23,112041,113061,111542,111709,13701000,111709
2023-01-20,112922,113025,111735,112301,15436600,112301
2023-01-19,112219,113172,111307,113006,15594300,113006
2023-01-18,111442,113306,111441,112452,14128600,112452
2023-01-17,109214,111577,109214,111439,14363200,111439
2023-01-16,110908,110908,108753,109213,12512400,109213
2023-01-13,111843,111847,110428,110916,15939000,110916
2023-01-12,112516,113129,110982,111877,19839100,111877
2023-01-11,110816,111841,110752,111763,14461400,111763
2023-01-10,109129,111193,108478,110912,13697900,110912
2023-01-09,108964,109938,108134,109227,12047300,109227
2023-01-06,107642,109433,107642,108836,12626600,108836
2023-01-05,105336,107743,105333,107518,15512000,107518
2023-01-04,104167,105627,103915,105334,14451200,105334
2023-01-03,106377,106684,103852,104166,14466700,104166
2023-01-02,109734,109734,105981,106376,8130500,106376
2022-12-29,110237,111178,109560,110031,13389100,110031
2022-12-28,108578,110536,108578,110237,11193900,110237
2022-12-27,108739,109353,107418,108347,11158100,108347
2022-12-26,109699,109755,108309,108738,5219500,108738
2022-12-23,107552,109994,107552,109698,12847100,109698
2022-12-22,107436,108383,106510,107317,11494600,107317
2022-12-21,106866,107991,106066,107313,17634900,107313
2022-12-20,104740,107792,104607,106979,19125600,106979
2022-12-19,102859,105107,102770,104530,16773400,104530
2022-12-16,103737,104018,102248,102825,18255000,102825
2022-12-15,103739,105483,103014,103738,15568200,103738
2022-12-14,103536,104516,101632,103803,24923500,103803
2022-12-13,105345,106689,103409,103892,17702200,103892
2022-12-12,107518,107561,103877,105264,15481900,105264
2022-12-09,107250,108566,107089,107689,10676300,107689
2022-12-08,109068,109286,106906,107245,14921000,107245
2022-12-07,110188,110247,108612,109361,13825300,109361
2022-12-06,109403,110663,109217,109533,13437500,109533
2022-12-05,111922,112150,109270,109401,12308400,109401
2022-12-02,110926,113761,109963,111924,15982000,111924
2022-12-01,112479,112479,110548,110926,15193700,110926
2022-11-30,110910,112486,110202,112486,19703200,112486
2022-11-29,108784,112187,108784,110910,14721700,110910
2022-11-28,108977,109476,108378,108782,11492600,108782
2022-11-25,111831,112025,108552,108977,12309100,108977
2022-11-24,108846,112612,108846,111831,10296900,111831
2022-11-23,109036,109285,107902,108683,13198400,108683
2022-11-22,109750,110224,107867,109037,15056500,109037
2022-11-21,108868,110235,107957,109748,16651600,109748
2022-11-18,109706,111585,108512,108880,18769100,108880
2022-11-17,110241,110242,107245,109703,23119600,109703
2022-11-16,113166,113473,109512,110243,18351000,110243
2022-11-14,112256,114322,111930,113161,15080400,113161
2022-11-11,109775,113010,109408,112253,25038700,112253
2022-11-10,113579,113579,108516,109775,26029300,109775
2022-11-09,116153,116183,113110,113580,20531600,113580
2022-11-08,115340,117072,114688,116160,14239800,116160
2022-11-07,118148,118240,115266,115342,15221900,115342
2022-11-04,116907,120039,116904,118155,16209500,118155
2022-11-03,116927,117373,114485,116896,15634600,116896
2022-11-01,116037,118261,115547,116929,17969700,116929
2022-10-31,114533,116763,112113,116037,21637900,116037
2022-10-28,114636,114712,113336,114539,14392400,114539
2022-10-27,112766,116236,112765,114641,15530800,114641
2022-10-26,114626,114626,112577,112764,16088200,112764
2022-10-25,116016,116203,114626,114626,14727200,114626
2022-10-24,119922,119924,115793,116013,13278800,116013
2022-10-21,117170,120752,116736,119929,18579800,119929
2022-10-20,116276,117367,116276,117171,16915800,117171
2022-10-19,115744,116459,115264,116274,12729900,116274
2022-10-18,113627,115795,113627,115743,14744200,115743
2022-10-17,112107,114406,112090,113624,11633000,113624
2022-10-14,114301,114712,111631,112072,13096100,112072
2022-10-13,114819,115367,112690,114300,14583700,114300
2022-10-11,115928,115928,114297,114827,13137900,114827
2022-10-10,116377,116841,115261,115941,11429900,115941
2022-10-07,117560,117960,115924,116375,13616500,116375
2022-10-06,117200,118382,117144,117561,14520500,117561
2022-10-05,116231,117514,115906,117198,13555200,117198
2022-10-04,116704,118280,115837,116230,16078700,116230
2022-10-03,110048,116134,110048,116134,20982900,116134
2022-09-30,107664,110502,107315,110037,16536300,110037
2022-09-29,108449,108449,106244,107664,14588500,107664
2022-09-28,108377,108970,107914,108451,13540500,108451
2022-09-27,109122,110161,108120,108376,14517500,108376
2022-09-26,111713,111713,109022,109114,13127000,109114
2022-09-23,112258,112457,110732,111716,13542300,111716
2022-09-22,111942,114392,111819,114070,15684400,114070
2022-09-21,112517,113294,111380,111936,14726800,111936
2022-09-20,111824,112544,111393,112517,12570300,112517
